DESC,LINK,Type
vpc-lattice vpc-lattice ,https://docs.aws.amazon.com/cli/latest/reference/vpc-lattice/,text-based
vpc-lattice APIReference Welcome,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/Welcome.html,code/API
 APIReference API_Operations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Operations.html,code/API
 APIReference API_BatchUpdateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_BatchUpdateRule.html,code/API
 APIReference API_CreateAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateAccessLogSubscription.html,code/API
 APIReference API_CreateListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateListener.html,code/API
 APIReference API_CreateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateRule.html,code/API
 APIReference API_CreateService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateService.html,code/API
 APIReference API_CreateServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetwork.html,code/API
 APIReference API_CreateServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetworkServiceAssociation.html,code/API
 APIReference API_CreateServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetworkVpcAssociation.html,code/API
 APIReference API_CreateTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateTargetGroup.html,code/API
 APIReference API_DeleteAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteAuthPolicy.html,code/API
 APIReference API_DeleteListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteListener.html,code/API
 APIReference API_DeleteResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteResourcePolicy.html,code/API
 APIReference API_DeleteRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteRule.html,code/API
 APIReference API_DeleteService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteService.html,code/API
 APIReference API_DeleteServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetwork.html,code/API
 APIReference API_DeleteServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetworkServiceAssociation.html,code/API
 APIReference API_DeleteServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetworkVpcAssociation.html,code/API
 APIReference API_DeleteTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteTargetGroup.html,code/API
 APIReference API_DeregisterTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeregisterTargets.html,code/API
 APIReference API_GetAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetAccessLogSubscription.html,code/API
 APIReference API_GetAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetAuthPolicy.html,code/API
 APIReference API_GetListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetListener.html,code/API
 APIReference API_GetResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetResourcePolicy.html,code/API
 APIReference API_GetRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetRule.html,code/API
 APIReference API_GetService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetService.html,code/API
 APIReference API_GetServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetwork.html,code/API
 APIReference API_GetServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetworkServiceAssociation.html,code/API
 APIReference API_GetServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetServiceNetworkVpcAssociation.html,code/API
 APIReference API_GetTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetTargetGroup.html,code/API
 APIReference API_ListAccessLogSubscriptions,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListAccessLogSubscriptions.html,code/API
 APIReference API_ListListeners,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListListeners.html,code/API
 APIReference API_ListRules,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListRules.html,code/API
 APIReference API_ListServiceNetworks,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworks.html,code/API
 APIReference API_ListServiceNetworkServiceAssociations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworkServiceAssociations.html,code/API
 APIReference API_ListServiceNetworkVpcAssociations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServiceNetworkVpcAssociations.html,code/API
 APIReference API_ListServices,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListServices.html,code/API
 APIReference API_ListTagsForResource,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTagsForResource.html,code/API
 APIReference API_ListTargetGroups,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTargetGroups.html,code/API
 APIReference API_ListTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_ListTargets.html,code/API
 APIReference API_PutAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PutAuthPolicy.html,code/API
 APIReference API_PutResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_PutResourcePolicy.html,code/API
 APIReference API_RegisterTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_RegisterTargets.html,code/API
