URL,Question,Answer
https://docs.aws.amazon.com/cli/latest/reference/vpc-lattice/,,NOT ENOUGH INFORMATION
https://docs.aws.amazon.com/vpc/latest/userguide/how-it-works.html,How does Amazon Virtual Private Cloud (Amazon VPC) allow for the creation and management of a virtual network?,"With Amazon Virtual Private Cloud (Amazon VPC), you can launch AWS resources in a logically isolated virtual network that you've defined. This network closely emulates a traditional network you would typically operate in your own data center but with the scalability of the AWS infrastructure. This virtual network includes components such as IPv4 and IPv6 CIDR blocks, subnets in multiple Availability Zones, route tables, an internet gateway, and a gateway endpoint. Subnets within the VPC allow you to launch AWS resources like EC2 instances, which can then connect to the internet, other VPCs, and on-premises networks. A default VPC is automatically configured for new accounts and comes with default settings and resources that facilitate easy connection to the internet. Alternatively, users have the option to create a nondefault VPC, tailoring it to specific requirements, including setting up private and public subnets, internet and egress-only internet gateways, and ensuring instances have the necessary IP addresses to interact with external networks. Additionally, Amazon VPC can be connected to corporate data centers using Site-to-Site VPNs, facilitating private routing between different VPCs or between VPCs and on-premises networks through peering connections and transit gateways. All traffic within the AWS private global network, which connects Availability Zones and Regions (excluding China Regions), benefits from low-latency, high-performance links, engineered to minimize packet loss and optimize network performance for cross-Region traffic."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,How do you sign up for an AWS account to use Amazon VPC?,"To sign up for an AWS account, necessary to use Amazon VPC, you must visit https://portal.aws.amazon.com/billing/signup and follow the online instructions provided. The sign-up process includes a step where you'll receive a phone call and enter a verification code on the phone keypad. After completing the sign-up, you'll be the root user with access to all AWS services and resources in the account. AWS recommends assigning administrative access to an administrative user for regular tasks and reserving the root user for tasks that specifically require such access. Once the sign-up process is complete, AWS sends a confirmation email, and you can then manage your account by going to https://aws.amazon.com/ and selecting 'My Account'."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,What are the recommended practices for selecting Availability Zones when setting up a VPC on AWS for different environments?,"AWS recommends different practices for selecting Availability Zones when setting up a VPC based on the type of environment. For a production environment, it is suggested that you select at least two Availability Zones and deploy your AWS resources evenly across each one to achieve greater fault tolerance. This is because Availability Zones are separate data centers with independent power, cooling, and physical security within a region, and are interconnected with high-bandwidth, low-latency networking. For development or test environments, where cost savings may be a priority, you might opt to deploy resources in only one Availability Zone."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,What steps should you take to ensure internet connectivity when planning your Amazon VPC?,"To ensure internet connectivity for an Amazon VPC, the planning process involves dividing the VPC into subnets that meet specific connectivity requirements. Subnets should be created for web servers that receive traffic from the internet, servers with internal VPC traffic only, and servers that receive traffic through a VPN connection from your own network. For applications that receive internet traffic, it is necessary to have an internet gateway attached to the VPC. To enable instances to be accessible from the internet, update the subnet route tables with a route to the internet gateway, ensure instances have public IP addresses, and configure security groups to allow required traffic. Alternatively, to manage incoming traffic, registering instances with an internet-facing load balancer can distribute traffic across instances in multiple Availability Zones. For instances in a private subnet requiring internet access without accepting inbound connections, a public NAT gateway should be added in each active Availability Zone, updating the route tables accordingly."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,What are the considerations and subsequent steps after planning your IP address ranges for deploying a VPC?,"When planning your IP address ranges for deploying a Virtual Private Cloud (VPC), you must consider the number of IP addresses needed across your AWS accounts and VPCs and ensure that there is no overlap with the IP ranges of your own network, especially if you require connectivity between multiple VPCs. AWS's IP Address Manager (IPAM) can assist in planning, tracking, and monitoring the IP addresses for your application. Once your VPC and subnet CIDR blocks are determined and you know how to connect your VPC to the internet, you are ready to create your VPC. If using the AWS Management Console, AWS will create a route table for public subnets and add routes for internet access as part of the VPC creation process."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-getting-started.html,How do deployment practices differ between production and development/test environments on AWS?,"Deployment practices on AWS differ notably between production and development/test environments. For a production environment, it's advised to use services like Amazon EC2 Auto Scaling, EC2 Fleet, or Amazon Elastic Container Service (Amazon ECS). These services help deploy servers in multiple Availability Zones, configure scaling to maintain the necessary number of servers, and use a load balancer to distribute traffic evenly across those servers. However, for a development or test environment, the approach may be more cost-conscious, and one might choose to launch a single EC2 instance instead of multiple instances across various Availability Zones."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-ip-addressing.html,What are the main differences between IPv4 and IPv6 addresses in Amazon EC2 and Amazon VPC?,"IPv4 addresses in Amazon EC2 and Amazon VPC consist of 32 bits, arranged in four groups of up to three decimal digits, and use CIDR blocks ranging from /16 to /28 for VPCs and are size-adjustable. In contrast, IPv6 addresses are comprised of 128 bits, formatted in eight groups of four hexadecimal digits, with CIDR blocks for VPCs fixed at /56 and subnet size fixed at /64, both being size-adjustable. IPv4 allows for a choice in CIDR block allocation and requires an internet gateway for internet access, while also supporting Elastic IP addresses for static public IP assignment and NAT gateways for instances in private subnets to connect to the internet or other VPCs. IPv6 also requires an internet gateway and supports outbound-only communication through an egress-only internet gateway, but does not support Elastic IPs as IPv6 addresses are static by default. NAT gateways are supported for IPv6 to enable communication with IPv4 resources. Both address types provide instances with Amazon-provided DNS names."
https://docs.aws.amazon.com/vpc/latest/userguide/vpc-cidr-blocks.html,What are the recommended practices and restrictions for managing IPv4 CIDR blocks in an Amazon Virtual Private Cloud (VPC)?,"When managing IPv4 CIDR blocks for an Amazon VPC, it is recommended to use private IPv4 address ranges as specified in RFC 1918, and avoid using certain ranges like 172.17.0.0/16 to prevent conflicts with AWS services. The initial IPv4 CIDR block for a VPC must be between a /16 and a /28 netmask, and additional blocks can be associated later. However, these additional blocks must not overlap with existing ones and must adhere to the service quotas and restrictions, such as avoiding overlapping ranges in VPC peering connections and ensuring non-conflicting CIDR blocks for services that employ cross-VPC and cross-account features. It is also noted that the range cannot be changed once set, and there are specific limitations on which CIDR blocks can be associated based on existing configurations. IPv6 CIDR blocks are also supported, with a fixed prefix length of /56 provided from Amazon's pool of IPv6 addresses."
https://docs.aws.amazon.com/vpc/latest/userguide/subnet-sizing.html,How are the IP addresses for subnets within an Amazon VPC represented and what restrictions apply to their size?,"The IP addresses for subnets within an Amazon Virtual Private Cloud (VPC) are represented using Classless Inter-Domain Routing (CIDR) notation. The size of a subnet's CIDR block can range between a netmask of /28 to a netmask of /16, meaning that it can vary significantly in terms of the number of IP addresses. A subnet's CIDR block can either be identical to the VPC's CIDR block, creating a single subnet that spans the entire VPC, or it can be a subset of the VPC's CIDR block, which allows for the creation of multiple subnets within the VPC. However, one critical restriction is that the CIDR blocks of these subnets cannot overlap with one another within the same VPC. Additionally, the first four and the last IP address in each subnet CIDR block are reserved and cannot be used or assigned to resources such as EC2 instances."
