DESC,LINK
vpc-lattice vpc-lattice ,https://docs.aws.amazon.com/cli/latest/reference/vpc-lattice/
vpc-lattice APIReference Welcome,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/Welcome.html
 APIReference API_Operations,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Operations.html
 APIReference API_BatchUpdateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_BatchUpdateRule.html
 APIReference API_CreateAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateAccessLogSubscription.html
 APIReference API_CreateListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateListener.html
 APIReference API_CreateRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateRule.html
 APIReference API_CreateService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateService.html
 APIReference API_CreateServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetwork.html
 APIReference API_CreateServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetworkServiceAssociation.html
 APIReference API_CreateServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateServiceNetworkVpcAssociation.html
 APIReference API_CreateTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_CreateTargetGroup.html
 APIReference API_DeleteAuthPolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteAuthPolicy.html
 APIReference API_DeleteListener,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteListener.html
 APIReference API_DeleteResourcePolicy,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteResourcePolicy.html
 APIReference API_DeleteRule,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteRule.html
 APIReference API_DeleteService,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteService.html
 APIReference API_DeleteServiceNetwork,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetwork.html
 APIReference API_DeleteServiceNetworkServiceAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetworkServiceAssociation.html
 APIReference API_DeleteServiceNetworkVpcAssociation,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteServiceNetworkVpcAssociation.html
 APIReference API_DeleteTargetGroup,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeleteTargetGroup.html
 APIReference API_DeregisterTargets,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_DeregisterTargets.html
 APIReference API_GetAccessLogSubscription,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_GetAccessLogSubscription.html
